image_path,text
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-001.jpeg,"THE WORKS OF

Sri Sankaracharya

SRI VANI VILAS EDITION."
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-002.jpeg,"परिग्रहण सं. १०३६३
ग्रन्थालय, के. उ. ति. शि. संस्थान
सारनाथ, वाराणसी"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-003.jpeg,"THE WORKS OF
SRI SANKARACHARYA
VOLUME 1

SRI VANI VILAS PRESS
------- SRIRANGAM -------"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-004.jpeg,"परिग्रहण सं. १०३६३
ग्रन्थालय, के. उ. ति. शि. संस्थान
सारनाथ, वाराणसी"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-005.jpeg,"CONTENTS
BRAHMASUTRA- BHASHYA 	- -	PAGE
CHAPTER I .				1-275
PADA 1 					1
PADA 2					95
PADA 3 					145
PADA 4 					225"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-006.jpeg,"॥विषयाः ॥

ब्रह्मसूत्रभाष्यम्				पृष्ठम्
अध्यायः १. .. -.- १-२७५
प्रथमः पादः ...  १
द्वितीयः पादः ...  ९५
तृतीयः पादः ... ... १४५
चतुर्थः पादः ... ... २२५"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-007.jpeg,"BRAHMASUTRA
BHASHYA


Volume
1"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-008.jpeg,"ब्रह्मसूत्रभाष्यम्

प्रथमो भागः"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-009.jpeg,"।। श्रीः ।।
।। विषयानुक्रमणिका ।।
------ ------

प्रथमोऽध्यायः 			पृष्ठम्
प्रथमः पादः-स्पष्टब्रह्मलिङ्गवाक्यसमन्वयः 	१-९१
उपोद्धातः …. 				१-२
अध्यासो मिथ्येत्याक्षेपः			 १
स्वरूपनिमित्तफलैरध्यासोपव्याख्यानम् 		 २
अध्यासलक्षणम्			 २
सत्यानृतमिथुनीकरणाक्षेपः			 २
लोकसिद्धाध्यासलक्षणाख्यानेनैव तत्प्रत्याख्यानम् 	 २
अन्यथात्मख्यातिवादिनां मतम्		 २
अख्यातिमतम्				 २
शून्यमतम्				 २
संभावनाभाष्यम्			 २-३
अविपये नाध्यास इत्याक्षेपः 			 २
अपरोक्षत्वनिरूपणेन तत्परिहारः …		 २
प्रौढिवादेन अप्रत्यक्षेऽप्यध्यासनिरूपणेन तत्परिहारः	 २
S.W.I.O"
D:\Projects\Sanskrit-OCR\Sanskrit-helper\OCR-Images-Annotation\BHSv1S1\page-010.jpeg,"[ २ ]
प्रमाणभाष्यम् … 					३-४
’ अहम्’ ’ मम इत्यध्यासस्य अविद्यात्वप्रसि-
द्धया अध्यासत्वदृढीकरणपूर्वकम्, तन्मात्रव्यु-
त्पादने बीजस्याप्युद्धाटनम् ….				 ३
प्रत्यक्षानुमानादिभिरध्याससिद्धिः 			 ३
अध्यासस्यानर्थहेतुतां दर्शयितुं ताद्विशेषोदाहरणम्		 ४
विषयप्रयोजनदर्शनपूर्वकमारम्भसमर्थनम् 			 ५
१. जिज्ञासाधिकरणम्-ब्रह्म जिज्ञासितव्यभिति		 ५-९
अध्ययनानन्तर्यपक्षं कर्मावबोधानन्तर्यपक्षं च प्रति-
क्षिप्य नियतपूर्ववृत्तसाधनचतुष्टयसंपत्त्यानन्तर्य-
मेव अथ-शब्दार्थ इति व्यवस्थापनम् ..			 ६
हेतुवाचकेन अतः-शब्देन, ’ तद्यथेह’ इत्यादिश्रुत्या
लक्षणया लब्धात्मकसाधनचतुष्टयसंपत्तिपरामर्श-
स्य उपपादनम्
ब्रह्मजिज्ञासा-पदस्य शेषरषष्ठीगर्भ विग्रहं निराकृत्य
श्रुत्यनुगृहीतस्य कर्मषष्ठीगर्भस्य विग्रहस्य व्यव-
स्थापनम् … 					७
जिज्ञासापदावयवार्थः ; जिज्ञासितव्यमिति तव्य-
प्रत्ययेन सन्-प्रत्ययस्य विचारलक्षकत्वसूचनपूर्वकं
सूत्रवाक्यार्थश्च					८
सिद्ध्यसिद्धिभ्यां जिज्ञास्यत्वं व्याहतमित्याक्षिप्य"
